year,month,species_id,rodent_type,plot_type,captures
1993,10,DM,Kangaroo Rat,Control,0.5806451612903226
1993,10,DO,Kangaroo Rat,Control,0.03225806451612903
1993,10,DS,Kangaroo Rat,Control,0.03225806451612903
1993,10,PF,Granivore,Control,0.06451612903225806
1993,10,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1993,10,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,10,RM,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,11,DM,Kangaroo Rat,Control,0.5806451612903226
1993,11,DO,Kangaroo Rat,Control,0.06451612903225806
1993,11,DS,Kangaroo Rat,Control,0.03225806451612903
1993,11,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1993,11,RM,Granivore,Long-term Krat Exclosure,0.0967741935483871
1993,12,DM,Kangaroo Rat,Control,0.5161290322580645
1993,12,DO,Kangaroo Rat,Control,0.0967741935483871
1993,12,DS,Kangaroo Rat,Control,0.03225806451612903
1993,12,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1993,12,RM,Granivore,Control,0.03225806451612903
1993,12,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1994,2,DM,Kangaroo Rat,Control,1.2903225806451613
1994,2,DO,Kangaroo Rat,Control,0.03225806451612903
1994,2,PF,Granivore,Long-term Krat Exclosure,0.1935483870967742
1994,2,RM,Granivore,Control,0.03225806451612903
1994,2,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1994,3,DM,Kangaroo Rat,Control,0.7741935483870968
1994,3,DO,Kangaroo Rat,Control,0.03225806451612903
1994,3,DS,Kangaroo Rat,Control,0.03225806451612903
1994,3,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1994,3,RM,Granivore,Long-term Krat Exclosure,0.12903225806451613
1994,4,DM,Kangaroo Rat,Control,0.9354838709677419
1994,4,DO,Kangaroo Rat,Control,0.06451612903225806
1994,4,DS,Kangaroo Rat,Control,0.06451612903225806
1994,4,PF,Granivore,Control,0.03225806451612903
1994,4,PF,Granivore,Long-term Krat Exclosure,0.16129032258064516
1994,4,PP,Granivore,Control,0.06451612903225806
1994,4,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1994,4,RM,Granivore,Long-term Krat Exclosure,0.0967741935483871
1994,5,DM,Kangaroo Rat,Control,0.6129032258064516
1994,5,DO,Kangaroo Rat,Control,0.06451612903225806
1994,5,DS,Kangaroo Rat,Control,0.03225806451612903
1994,5,PF,Granivore,Long-term Krat Exclosure,0.16129032258064516
1994,5,PP,Granivore,Long-term Krat Exclosure,0.12903225806451613
1994,6,DM,Kangaroo Rat,Control,0.45161290322580644
1994,6,DO,Kangaroo Rat,Control,0.06451612903225806
1994,6,DS,Kangaroo Rat,Control,0.03225806451612903
1994,6,PF,Granivore,Control,0.03225806451612903
1994,6,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1994,6,PP,Granivore,Long-term Krat Exclosure,0.0967741935483871
1994,6,RM,Granivore,Control,0.03225806451612903
1994,7,DM,Kangaroo Rat,Control,0.45161290322580644
1994,7,DO,Kangaroo Rat,Control,0.0967741935483871
1994,7,DS,Kangaroo Rat,Control,0.03225806451612903
1994,7,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1994,7,PP,Granivore,Long-term Krat Exclosure,0.12903225806451613
1994,7,RM,Granivore,Long-term Krat Exclosure,0.06451612903225806
1994,8,DM,Kangaroo Rat,Control,0.41935483870967744
1994,8,DS,Kangaroo Rat,Control,0.03225806451612903
1994,8,PF,Granivore,Control,0.03225806451612903
1994,8,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1994,8,PP,Granivore,Control,0.0967741935483871
1994,8,PP,Granivore,Long-term Krat Exclosure,0.22580645161290322
1994,9,DM,Kangaroo Rat,Control,0.41935483870967744
1994,9,DS,Kangaroo Rat,Control,0.03225806451612903
1994,9,PF,Granivore,Long-term Krat Exclosure,0.16129032258064516
1994,9,PP,Granivore,Control,0.0967741935483871
1994,9,PP,Granivore,Long-term Krat Exclosure,0.25806451612903225
1994,9,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1994,10,DM,Kangaroo Rat,Control,0.7419354838709677
1994,10,DO,Kangaroo Rat,Control,0.0967741935483871
1994,10,DS,Kangaroo Rat,Control,0.03225806451612903
1994,10,PF,Granivore,Control,0.12903225806451613
1994,10,PF,Granivore,Long-term Krat Exclosure,0.16129032258064516
1994,10,PP,Granivore,Control,0.06451612903225806
1994,10,PP,Granivore,Long-term Krat Exclosure,0.12903225806451613
1994,10,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1994,11,DM,Kangaroo Rat,Control,0.6451612903225806
1994,11,DO,Kangaroo Rat,Control,0.12903225806451613
1994,11,PF,Granivore,Control,0.06451612903225806
1994,11,PF,Granivore,Long-term Krat Exclosure,0.1935483870967742
1994,12,DM,Kangaroo Rat,Control,0.6451612903225806
1994,12,DO,Kangaroo Rat,Control,0.1935483870967742
1994,12,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1994,12,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,1,DM,Kangaroo Rat,Control,0.5161290322580645
1995,1,DO,Kangaroo Rat,Control,0.1935483870967742
1995,1,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1995,1,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,2,DM,Kangaroo Rat,Control,0.6774193548387096
1995,2,DM,Kangaroo Rat,Long-term Krat Exclosure,0.03225806451612903
1995,2,DO,Kangaroo Rat,Control,0.16129032258064516
1995,2,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,2,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,3,DM,Kangaroo Rat,Control,0.7419354838709677
1995,3,DM,Kangaroo Rat,Long-term Krat Exclosure,0.03225806451612903
1995,3,DO,Kangaroo Rat,Control,0.12903225806451613
1995,3,PF,Granivore,Control,0.03225806451612903
1995,3,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,3,RM,Granivore,Control,0.03225806451612903
1995,3,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,4,DM,Kangaroo Rat,Control,1.4193548387096775
1995,4,DM,Kangaroo Rat,Long-term Krat Exclosure,0.06451612903225806
1995,4,DO,Kangaroo Rat,Control,0.12903225806451613
1995,4,PF,Granivore,Control,0.0967741935483871
1995,4,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1995,4,PP,Granivore,Long-term Krat Exclosure,0.16129032258064516
1995,4,RM,Granivore,Control,0.03225806451612903
1995,4,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,6,DM,Kangaroo Rat,Control,1.7096774193548387
1995,6,DM,Kangaroo Rat,Long-term Krat Exclosure,0.03225806451612903
1995,6,DO,Kangaroo Rat,Control,0.03225806451612903
1995,6,PF,Granivore,Control,0.03225806451612903
1995,6,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,6,PP,Granivore,Control,0.1935483870967742
1995,6,PP,Granivore,Long-term Krat Exclosure,0.3225806451612903
1995,6,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,7,DM,Kangaroo Rat,Control,0.9354838709677419
1995,7,DO,Kangaroo Rat,Control,0.06451612903225806
1995,7,PF,Granivore,Control,0.0967741935483871
1995,7,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1995,7,PP,Granivore,Control,0.5806451612903226
1995,7,PP,Granivore,Long-term Krat Exclosure,0.2903225806451613
1995,8,DM,Kangaroo Rat,Control,0.8064516129032258
1995,8,PF,Granivore,Control,0.0967741935483871
1995,8,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1995,8,PP,Granivore,Control,0.7741935483870968
1995,8,PP,Granivore,Long-term Krat Exclosure,0.6451612903225806
1995,9,DM,Kangaroo Rat,Control,0.8387096774193549
1995,9,DO,Kangaroo Rat,Control,0.06451612903225806
1995,9,PF,Granivore,Control,0.3548387096774194
1995,9,PF,Granivore,Long-term Krat Exclosure,0.1935483870967742
1995,9,PP,Granivore,Control,0.8387096774193549
1995,9,PP,Granivore,Long-term Krat Exclosure,0.9032258064516129
